Group,Link,Type
2020ElectionCenter.com,https://mediabiasfactcheck.com/2020electioncenter-com-bias/,conspiracy
21st Century Wire (21stcenturywire.com),https://mediabiasfactcheck.com/21st-century-wire/,conspiracy
79Days.News,https://mediabiasfactcheck.com/79days-news/,conspiracy
369 News (369news.net),https://mediabiasfactcheck.com/369news/,conspiracy
911Truth.org (911truth.org),https://mediabiasfactcheck.com/911truth-org/,conspiracy
Above Top Secret (www.abovetopsecret.com),https://mediabiasfactcheck.com/above-top-secret/,conspiracy
A Call for an Uprising (acallforanuprising.com),https://mediabiasfactcheck.com/a-call-for-an-uprising/,conspiracy
ACNLatitudes (latitudes.org),https://mediabiasfactcheck.com/acn-latitudes/,conspiracy
Activist Post (www.activistpost.com),https://mediabiasfactcheck.com/activist-post/,conspiracy
Actualized.org,https://mediabiasfactcheck.com/actualized-org-bias/,conspiracy
Adams.News,https://mediabiasfactcheck.com/adams-news-bias/,conspiracy
Addiction.News,https://mediabiasfactcheck.com/addiction-news-bias/,conspiracy
ADDitude Magazine (additudemag.com),https://mediabiasfactcheck.com/additude-magazine/,conspiracy
Age of Autism (www.ageofautism.com),https://mediabiasfactcheck.com/age-of-autism/,conspiracy
Alien News (newsinstact.com),https://mediabiasfactcheck.com/newsinstact-com-alien-news-bias/,conspiracy
Alliance for Advanced Health (allianceforadvancedhealth.com),https://mediabiasfactcheck.com/alliance-advanced-health/,conspiracy
Alliance for Human Research Protection (ahrp.org),https://mediabiasfactcheck.com/alliance-for-human-research-protection-ahrp-bias/,conspiracy
Alliance for Natural Health International (anhinternational.org),https://mediabiasfactcheck.com/alliance-for-natural-health-international-bias/,conspiracy
Alliance for Natural Health (ANH-USA) (https://anh-usa.org),https://mediabiasfactcheck.com/alliance-for-natural-health-bias-junk-science/,conspiracy
altCensored.com,https://mediabiasfactcheck.com/altcensored-bias-and-credibility/,conspiracy
Alternative Daily (thealternativedaily.com),https://mediabiasfactcheck.com/alternative-daily-bias/,conspiracy
Alternative Media Television (AMTV) (www.amtvmedia.com),https://mediabiasfactcheck.com/alternative-media-television-amtv/,conspiracy
AlternativeNews.com (alternativenews.com),https://mediabiasfactcheck.com/alternativenews-com/,conspiracy
AltHealth Works (althealthworks.com),https://mediabiasfactcheck.com/althealth-works/,conspiracy
AltLeft.News,https://mediabiasfactcheck.com/altleft-news-bias/,conspiracy
Aluminum.News,https://mediabiasfactcheck.com/aluminum-news-bias/,conspiracy
American Free Press (americanfreepress.net),https://mediabiasfactcheck.com/american-free-press/,conspiracy
American Intelligence Media (aim4truth.org),https://mediabiasfactcheck.com/american-intelligence-media/,conspiracy
American Media Group (amg-news.com),https://mediabiasfactcheck.com/amg-news/,conspiracy
American Policy Center (americanpolicy.org),https://mediabiasfactcheck.com/american-policy-center/,conspiracy
America’s Frontline Doctors (americasfrontlinedoctors.com),https://mediabiasfactcheck.com/americas-frontline-doctors/,conspiracy
Ancient Code (www.ancient-code.com),https://mediabiasfactcheck.com/ancient-code/,conspiracy
Ancient Origins (www.ancient-origins.net),https://mediabiasfactcheck.com/ancient-origins/,conspiracy
AND Magazine (andmagazine.com),https://mediabiasfactcheck.com/and-magazine/,conspiracy
Answers in Genesis (answersingenesis.org),https://mediabiasfactcheck.com/answers-in-genesis/,conspiracy
Anti-Empire (anti-empire.com),https://mediabiasfactcheck.com/anti-empire-bias/,conspiracy
Antioxidants.news,https://mediabiasfactcheck.com/antioxidants-news-bias/,conspiracy
Anya Vien (anyavien.com),https://mediabiasfactcheck.com/anya-vien/,conspiracy
