Group,Link,Type
4Chan.org,https://mediabiasfactcheck.com/4chan-bias/,fake-news
9GAG.com,https://mediabiasfactcheck.com/9gag-bias-and-credibility/,fake-news
100% Fed up (100percentfedup.com),https://mediabiasfactcheck.com/100-percent-fed-up/,fake-news
24Jours.com,https://mediabiasfactcheck.com/24jours-com/,fake-news
2020 Conservative (2020conservative.com),https://mediabiasfactcheck.com/2020-conservative-bias/,fake-news
A Voice for Men (www.avoiceformen.com),https://mediabiasfactcheck.com/a-voice-for-men/,fake-news
ABQ Times (abqtimes.com),https://mediabiasfactcheck.com/abq-times-bias/,fake-news
Action News 3,https://mediabiasfactcheck.com/action-news-3/,fake-news
Activist Mommy (activistmommy.com),https://mediabiasfactcheck.com/activist-mommy/,fake-news
Ada Reporter (adareporter.com),https://mediabiasfactcheck.com/ada-reporter/,fake-news
Adams County Times (adamscountytimes.com),https://mediabiasfactcheck.com/adams-county-times/,fake-news
Aguascalientes Daily Post (aguascalientesdailypost.com),https://mediabiasfactcheck.com/aguascalientes-daily-post-bias/,fake-news
Akron Reporter (akronreporter.com),https://mediabiasfactcheck.com/akron-reporter-bias/,fake-news
Alabama Business Daily (businessdailynetwork.com/states/al),https://mediabiasfactcheck.com/alabama-business-daily-bias/,fake-news
Alaska Business Daily (https://businessdailynetwork.com/states/ak),https://mediabiasfactcheck.com/alaska-business-daily-bias/,fake-news
Al Arabiya (english.alarabiya.net),https://mediabiasfactcheck.com/al-arabiya/,fake-news
Albany Standard (albanystandard.com),https://mediabiasfactcheck.com/albany-standard/,fake-news
Al Bawaba (www.albawaba.com),https://mediabiasfactcheck.com/al-bawaba/,fake-news
All News Pipeline (allnewspipeline.com),https://mediabiasfactcheck.com/all-news-pipeline/,fake-news
Alliance Defending Freedom (www.adflegal.org),https://mediabiasfactcheck.com/alliance-defending-freedom/,fake-news
Al Manar (english.almanar.com.lb),https://mediabiasfactcheck.com/al-manar/,fake-news
Al Mayadeen (english.almayadeen.net),https://mediabiasfactcheck.com/al-mayadeen-bias/,fake-news
Aloha State News (alohastatenews.com),https://mediabiasfactcheck.com/aloha-state-news/,fake-news
Alpha News (alphanewsmn.com),https://mediabiasfactcheck.com/alpha-news/,fake-news
Altoona Times (altoonatimes.com),https://mediabiasfactcheck.com/altoona-times-bias/,fake-news
Alt-Right TV,https://mediabiasfactcheck.com/alt-right-tv/,fake-news
Al Youm Al Sabea (youm7.com),https://mediabiasfactcheck.com/al-youm-al-sabea-youm7-bias/,fake-news
America First Legal (aflegal.org),https://mediabiasfactcheck.com/america-first-legal-afl-bias-and-credibility/,fake-news
America First Report (americafirstreport.com),https://mediabiasfactcheck.com/america-first-report-bias/,fake-news
America Out Loud (americaoutloud.com),https://mediabiasfactcheck.com/america-out-loud/,fake-news
