Group,Link,Type
350.org,https://mediabiasfactcheck.com/350-org-bias-and-credibility/,left
350africa.org,https://mediabiasfactcheck.com/350africa-org-bias/,left
350 Aotearoa (350.org.nz),https://mediabiasfactcheck.com/350-aotearoa-bias-and-credibility/,left
350 Asia (350asia.org),https://mediabiasfactcheck.com/350-asia-bias/,left
350 Australia (350.org.au),https://mediabiasfactcheck.com/350-australia-bias-and-credibility/,left
350 Canada (350.org/canada/),https://mediabiasfactcheck.com/350-canada-bias-and-credibility/,left
350 France (350.org/fr/),https://mediabiasfactcheck.com/350-france-bias-and-credibility/,left
350 Germany (350.org/de/),https://mediabiasfactcheck.com/350-germany-bias-and-credibility/,left
350 Indonesia (350.org/id/),https://mediabiasfactcheck.com/350-indonesia-bias-and-credibility/,left
350 Japan (world.350.org/ja/),https://mediabiasfactcheck.com/350-japan-bias-and-credibility/,left
350 Pacific (350.org/pacific/),https://mediabiasfactcheck.com/350-pacific-bias/,left
350 Pilipinas (world.350.org/philippines/),https://mediabiasfactcheck.com/350-pilipinas-bias-and-credibility/,left
350 Turkiye (350turkiye.org),https://mediabiasfactcheck.com/350-turkiye-bias-and-credibility/,left
Accountable.US,https://mediabiasfactcheck.com/accountable-us/,left
ActBlue (secure.actblue.com),https://mediabiasfactcheck.com/actblue-bias-and-credibility/,left
Act.TV (act.tv),https://mediabiasfactcheck.com/act-tv/,left
Action Network (actionnetwork.org),https://mediabiasfactcheck.com/action-network-bias/,left
Aftonbladet,https://mediabiasfactcheck.com/aftonbladet/,left
Alabama Reflector (alabamareflector.com),https://mediabiasfactcheck.com/alabama-reflector-bias/,left
Alaska Beacon (alaskabeacon.com),https://mediabiasfactcheck.com/alaska-beacon-bias/,left
Al DIA,https://mediabiasfactcheck.com/al-dia/,left
Alliance for Justice (AFJ) (www.afj.org),https://mediabiasfactcheck.com/alliance-for-justice-afj/,left
Alt News,https://mediabiasfactcheck.com/alt-news/,left
Alternet (www.alternet.org),https://mediabiasfactcheck.com/alternet/,left
Amandla (aidc.org.za),https://mediabiasfactcheck.com/amandla/,left
American Bridge 21st Century (americanbridgepac.org),https://mediabiasfactcheck.com/american-bridge-21st-century/,left
American Democracy Scorecard (americandemocracyscorecard.org),https://mediabiasfactcheck.com/american-democracy-scorecard-bias-and-credibility/,left
American Oversight,https://mediabiasfactcheck.com/american-oversight/,left
Americans United for Separation of Church and State (www.au.org),https://mediabiasfactcheck.com/american-united-separation-church-state/,left
Angry White Men (angrywhitemen.org),https://mediabiasfactcheck.com/angry-white-men/,left
Anthropocene Alliance (anthropocenealliance.org),https://mediabiasfactcheck.com/anthropocene-alliance-a2-bias/,left
Anthropocene Magazine (www.anthropocenemagazine.org),https://mediabiasfactcheck.com/conservation-magazine/,left
Arizona Mirror (azmirror.com),https://mediabiasfactcheck.com/arizona-mirror-bias/,left
Arkansas Advocate (arkansasadvocate.com),https://mediabiasfactcheck.com/arkansas-advocate-bias/,left
Attack the System (attackthesystem.com),https://mediabiasfactcheck.com/attack-the-system/,left
AT Advocacy (atadvocacy.com),https://mediabiasfactcheck.com/at-advocacy-bias-and-credibility/,left
AutoStraddle (www.autostraddle.com),https://mediabiasfactcheck.com/autostraddle/,left
Baltimore City Paper (www.citypaper.com),https://mediabiasfactcheck.com/baltimore-city-paper/,left
Bay Area Reporter (www.ebar.com),https://mediabiasfactcheck.com/bay-area-reporter/,left
Being Liberal (www.themaven.net),https://mediabiasfactcheck.com/being-liberal/,left
BerkeleySide (berkeleyside.org),https://mediabiasfactcheck.com/berkeleyside-bias-and-credibility/,left
BillMoyers.com (billmoyers.com),https://mediabiasfactcheck.com/billmoyers-com/,left
Black Agenda Report (blackagendareport.com),https://mediabiasfactcheck.com/black-agenda-report/,left
Black America Web (blackamericaweb.com),https://mediabiasfactcheck.com/black-america-web/,left
Black Lives Matter (blacklivesmatter.com),https://mediabiasfactcheck.com/black-lives-matter/,left
Black Main Street (blackmainstreet.net),https://mediabiasfactcheck.com/black-main-street/,left
Black Wall Street Times (theblackwallsttimes.com),https://mediabiasfactcheck.com/black-wall-street-times-bias-and-credibility/,left
BoingBoing (boingboing.net),https://mediabiasfactcheck.com/boing-boing/,left
Bolde (bolde.com),https://mediabiasfactcheck.com/bolde-bias/,left
Boston Review (bostonreview.net),https://mediabiasfactcheck.com/boston-review/,left
Breakthrough News (breakthroughnews.org),https://mediabiasfactcheck.com/breakthrough-news-bias/,left
Briarpatch Magazine (briarpatchmagazine.com),https://mediabiasfactcheck.com/briarpatch-magazine-bias/,left
Brit + Co (brit.com),https://mediabiasfactcheck.com/brit-co-bias-and-credibility/,left
Brut.Media,https://mediabiasfactcheck.com/brut-media-bias/,left
B’Tselem (btselem.org),https://mediabiasfactcheck.com/btselem-bias/,left
Bucks County Beacon (buckscountybeacon.com),https://mediabiasfactcheck.com/bucks-county-beacon-bias-and-credibility/,left
Bust Magazine (bust.com),https://mediabiasfactcheck.com/bust-magazine/,left
Call to Activism (calltoactivism.com),https://mediabiasfactcheck.com/call-to-activism/,left
Canada Fact Check (canadafactcheck.ca),https://mediabiasfactcheck.com/canada-fact-check/,left
Canadian Anti-Hate Network (antihate.ca),https://mediabiasfactcheck.com/canadian-anti-hate-network-bias/,left
Canadian Dimension (canadiandimension.com),https://mediabiasfactcheck.com/canadian-dimension/,left
Capital & Main (capitalandmain.com),https://mediabiasfactcheck.com/capital-main/,left
Capitol News Illinois (capitolnewsillinois.com),https://mediabiasfactcheck.com/capitol-news-illinois-bias/,left
Care2 (www.care2.com),https://mediabiasfactcheck.com/care2/,left
Ceasefire Magazine (ceasefiremagazine.co.uk),https://mediabiasfactcheck.com/ceasefire-magazine/,left
Center for American Progress (www.americanprogress.org),https://mediabiasfactcheck.com/center-for-american-progress/,left
Center for Biological Diversity (biologicaldiversity.org),https://mediabiasfactcheck.com/center-for-biological-diversity-bias/,left
Center for Law and Social Policy (clasp.org),https://mediabiasfactcheck.com/center-for-law-and-social-policy-clasp-bias-2/,left
Center for Media and Democracy (www.prwatch.org),https://mediabiasfactcheck.com/center-for-media-and-democracy/,left
Center for a Stateless Society (c4ss.org),https://mediabiasfactcheck.com/center-for-a-stateless-society/,left
Change.org (https://www.change.org/),https://mediabiasfactcheck.com/change-org/,left
Change Research (changeresearch.com),https://mediabiasfactcheck.com/change-research-bias/,left
Chicago Reader (www.chicagoreader.com),https://mediabiasfactcheck.com/chicago-reader/,left
Chicago Reporter (chicagoreporter.com),https://mediabiasfactcheck.com/the-chicago-reporter/,left
China Internet Information Center (china.org.cn),https://mediabiasfactcheck.com/china-internet-information-center/,left
Cincinnati CityBeat (citybeat.com),https://mediabiasfactcheck.com/cincinnati-citybeat-bias/,left
Citizen Data (citizendata.com),https://mediabiasfactcheck.com/citizen-data-bias-and-credibility/,left
Civiqs (civiqs.com),https://mediabiasfactcheck.com/civiqs-bias-and-credibility/,left
Cleveland Scene (clevescene.com),https://mediabiasfactcheck.com/cleveland-scene/,left
Clima Fund (climasolutions.org),https://mediabiasfactcheck.com/clima-fund-bias-and-credibility/,left
Climate Home News (climatechangenews.com),https://mediabiasfactcheck.com/climate-home-news-bias/,left
Climate Justice Alliance (climatejusticealliance.org),https://mediabiasfactcheck.com/climate-justice-alliance-bias/,left
Coda Story (Codastory.com),https://mediabiasfactcheck.com/coda-story-bias/,left
Code Pink (www.codepink.org),https://mediabiasfactcheck.com/code-pink/,left
Colorado Newsline (coloradonewsline.com),https://mediabiasfactcheck.com/colorado-newsline-bias/,left
Colorado Times Reporter (coloradotimesreporter.com),https://mediabiasfactcheck.com/colorado-times-recorder-bias/,left
ColorLines (colorlines.com),https://mediabiasfactcheck.com/colorlines/,left
Color of Change (colorofchange.org),https://mediabiasfactcheck.com/color-of-change-bias/,left
Columbus Free Press (https://columbusfreepress.com/),https://mediabiasfactcheck.com/columbus-free-press/,left
Comic Sands,https://mediabiasfactcheck.com/comic-sands/,left
Common Dreams (www.commondreams.org),https://mediabiasfactcheck.com/common-dreams/,left
Commune Magazine (communemag.com),https://mediabiasfactcheck.com/commune-magazine/,left
Communist Party USA (cpusa.org),https://mediabiasfactcheck.com/communist-party-usa-bias/,left
CommonWealth Beacon (commonwealthbeacon.org),https://mediabiasfactcheck.com/commonwealth-beacon-bias/,left
Consortium News (consortiumnews.com),https://mediabiasfactcheck.com/consortium-news/,left
Cop Block (copblock.org),https://mediabiasfactcheck.com/cop-block/,left
Cosmopolitan (www.cosmopolitan.com),https://mediabiasfactcheck.com/cosmopolitan/,left
CounterCurrents.org (www.countercurrents.org),https://mediabiasfactcheck.com/countercurrents-org/,left
Counterfire (counterfire.org),https://mediabiasfactcheck.com/counterfire-bias/,left
CounterPunch (www.counterpunch.org),https://mediabiasfactcheck.com/counterpunch/,left
CounterVortex (countervortex.org),https://mediabiasfactcheck.com/countervortex-bias-and-credibility/,left
Crikey (crikey.com.au),https://mediabiasfactcheck.com/crikey/,left
CrimethInc (crimethinc.com),https://mediabiasfactcheck.com/crimethinc/,left
Crooked Media (crooked.com),https://mediabiasfactcheck.com/crooked-media/,left
Crooks and Liars (crooksandliars.com),https://mediabiasfactcheck.com/crooks-and-liars/,left
Current Affairs (www.currentaffairs.org),https://mediabiasfactcheck.com/current-affairs-magazine/,left
Curve Magazine (www.curvemag.com),https://mediabiasfactcheck.com/curve-magazine/,left
Dagens ETC (etc.se),https://mediabiasfactcheck.com/dagens-etc-bias-and-credibility/,left
Daily Beast (www.thedailybeast.com),https://mediabiasfactcheck.com/daily-beast/,left
Daily Dot (www.dailydot.com),https://mediabiasfactcheck.com/daily-dot/,left
Daily Kos,https://mediabiasfactcheck.com/daily-kos/,left
Daily Montanan (dailymontanan.com),https://mediabiasfactcheck.com/daily-montanan-bias/,left
Daily News bin,https://mediabiasfactcheck.com/daily-news-bin/,left
Daily Record (Scotland) (www.dailyrecord.co.uk),https://mediabiasfactcheck.com/daily-record-scotland/,left
Daily Sound and Fury (dailysoundandfury.com),https://mediabiasfactcheck.com/daily-sound-and-fury/,left
Dallas Voice (www.dallasvoice.com),https://mediabiasfactcheck.com/dallas-voice/,left
Dame Magazine (damemagazine.com),https://mediabiasfactcheck.com/dame-magazine-bias/,left
DavidPakman.com,https://mediabiasfactcheck.com/davidpakman-com-bias/,left
DeadState (deadstate.org),https://mediabiasfactcheck.com/dead-state/,left
Deadspin (deadspin.com),https://mediabiasfactcheck.com/deadspin/,left
Defend Democracy Press (defenddemocracy.press),https://mediabiasfactcheck.com/defend-democracy-press-bias/,left
Democracy Chronicles (democracychronicles.org),https://mediabiasfactcheck.com/democracy-chronicles/,left
Democracy Docket (democracydocket.com),https://mediabiasfactcheck.com/democracy-docket-bias/,left
Democracy Guardian,https://mediabiasfactcheck.com/democracy-guardian/,left
Democracy Journal (democracyjournal.org),https://mediabiasfactcheck.com/democracy-journal/,left
Democracy Now (www.democracynow.org),https://mediabiasfactcheck.com/democracy-now/,left
Democratic Socialists of America (dsausa.org),https://mediabiasfactcheck.com/democratic-socialists-of-america-bias-and-credibility/,left
Democratic Underground (www.democraticunderground.com),https://mediabiasfactcheck.com/democratic-underground/,left
Deshabhimani (https://www.deshabhimani.com/),https://mediabiasfactcheck.com/deshabhimani/,left
DeSmog (www.desmogblog.com),https://mediabiasfactcheck.com/desmog/,left
Detroit Metro News,https://mediabiasfactcheck.com/detroit-metro-times/,left
Die Tageszeitung (taz.de),https://mediabiasfactcheck.com/die-tageszeitung-bias-and-credibility/,left
Dissent Magazine (www.dissentmagazine.org),https://mediabiasfactcheck.com/dissent-magazine/,left
Double Down News (doubledown.news),https://mediabiasfactcheck.com/double-down-news-ddn-bias/,left
Dream for America (dream4america.org),https://mediabiasfactcheck.com/dream-for-america-bias/,left
Drudge Retort (www.drudge.com),https://mediabiasfactcheck.com/drudge-retort/,left
Earth First Journal (earthfirstjournal.org),https://mediabiasfactcheck.com/earth-first-journal/,left
Ecowatch (www.ecowatch.com),https://mediabiasfactcheck.com/ecowatch/,left
Egberto Willies (egbertowillies.com),https://mediabiasfactcheck.com/egbertowillies/,left
Electoral-Vote.com (www.electoral-vote.com),https://mediabiasfactcheck.com/electoral-vote-com/,left
Electronic Intifada (electronicintifada.net),https://mediabiasfactcheck.com/electronic-intifada/,left
Elite Daily (elitedaily.com),https://mediabiasfactcheck.com/elite-daily/,left
Elle Magazine (elle.com),https://mediabiasfactcheck.com/elle-magazine/,left
Erin in the Morning (erininthemorning.com),https://mediabiasfactcheck.com/erin-in-the-morning-bias-and-credibility/,left
Esquire Magazine (www.esquire.com),https://mediabiasfactcheck.com/esquire-magazine/,left
Euro-Med Human Rights Monitor (euromedmonitor.org),https://mediabiasfactcheck.com/euro-med-human-rights-monitor-bias/,left
Everyday Feminism (everydayfeminism.com),https://mediabiasfactcheck.com/everyday-feminism/,left
Evonomics (evonomics.com),https://mediabiasfactcheck.com/evonomics/,left
Exposed by CMD (exposedbycmd.org),https://mediabiasfactcheck.com/exposed-by-cmd-bias/,left
FairPlanet (fairplanet.org),https://mediabiasfactcheck.com/fair-planet-bias/,left
Feminist Current (www.feministcurrent.com),https://mediabiasfactcheck.com/feminist-current/,left
Fifth Estate (www.fifthestate.org),https://mediabiasfactcheck.com/fifth-estate/,left
Finnish News (finnishnews.fi),https://mediabiasfactcheck.com/finnish-news/,left
Florida Phoenix (floridaphoenix.com),https://mediabiasfactcheck.com/florida-phoenix-bias/,left
Food and Water Watch (www.foodandwaterwatch.org),https://mediabiasfactcheck.com/food-and-water-watch/,left
Foreign Policy Journal (www.foreignpolicyjournal.com),https://mediabiasfactcheck.com/foreign-policy-journal/,left
Foreign Policy News (foreignpolicynews.org),https://mediabiasfactcheck.com/foreign-policy-news/,left
Free Press (freepress.org),https://mediabiasfactcheck.com/free-press-2/,left
Freedom From Religion Foundation (ffrf.org),https://mediabiasfactcheck.com/freedom-religion-foundation-ffrf/,left
Freedom News and Journal (freedomnews.org.uk),https://mediabiasfactcheck.com/freedom-news-and-journal/,left
Front Page Live (www.frontpagelive.com),https://mediabiasfactcheck.com/front-page-live/,left
FSTv (Freespeech.org) (www.freespeech.org),https://mediabiasfactcheck.com/fstv-freespeech-org/,left
Future Forward USA PAC (futureforwardusa.org),https://mediabiasfactcheck.com/future-forward-usa-pac-ff-pac-bias/,left
Gawker (gawker.com),https://mediabiasfactcheck.com/gawker-bias/,left
Gay City News (gaycitynews.com),https://mediabiasfactcheck.com/gay-city-news-bias/,left
Gay Star News (www.gaystarnews.com),https://mediabiasfactcheck.com/gay-star-news/,left
Gay Times (gaytimes.co.uk),https://mediabiasfactcheck.com/gay-times-bias/,left
Geopolitics Alert (geopoliticsalert.com),https://mediabiasfactcheck.com/geopolitics-alert/,left
Georgia Recorder (georgiarecorder.com),https://mediabiasfactcheck.com/georgia-recorder-bias/,left
Giffords Law Center to Prevent Gun Violence (Giffords.org),https://mediabiasfactcheck.com/giffords-law-center-to-prevent-gun-violence-bias/,left
Girls for Gender Equity (ggenyc.org),https://mediabiasfactcheck.com/girls-for-gender-equity-gge-bias-and-credibility/,left
Gizmodo (gizmodo.com),https://mediabiasfactcheck.com/gizmodo/,left
GLAAD (glaad.org),https://mediabiasfactcheck.com/glaad/,left
Global Voices (globalvoices.org),https://mediabiasfactcheck.com/global-voices/,left
Good Magazine (www.good.is),https://mediabiasfactcheck.com/good-magazine/,left
GQ Magazine (www.gq.com),https://mediabiasfactcheck.com/gq-magazine/,left
Grasping Reality With Both Hands: Bradford Delong (www.bradford-delong.com),https://mediabiasfactcheck.com/grasping-reality-hands-bradford-delong/,left
Green Left Weekly (www.greenleft.org.au),https://mediabiasfactcheck.com/green-left-weekly/,left
Greenlining Institute (greenlining.org),https://mediabiasfactcheck.com/greenlining-institute-bias/,left
Guardian Liberty Voice (guardianlv.com),https://mediabiasfactcheck.com/guardian-liberty-voice/,left
