Group,Link,Type
1News – New Zealand (1news.co.nz),https://mediabiasfactcheck.com/1news-new-zealand/,leftcenter
100 Days in Appalachia (100daysinappalachia.com),https://mediabiasfactcheck.com/100-days-in-appalachia-bias-and-credibility/,leftcenter
100 Mile Free Press (100milefreepress.net),https://mediabiasfactcheck.com/100-mile-free-press-bias/,leftcenter
404 Media (404media.co),https://mediabiasfactcheck.com/404-media-bias/,leftcenter
604 Now (604now.com),https://mediabiasfactcheck.com/604-now/,leftcenter
972 Magazine (972mag.com),https://mediabiasfactcheck.com/972-magazine/,leftcenter
1600 Daily (www.whitehouse.gov),https://mediabiasfactcheck.com/1600-daily/,leftcenter
ABC News (abcnews.go.com),https://mediabiasfactcheck.com/abc-news/,leftcenter
ABC News Australia (www.abc.net.au),https://mediabiasfactcheck.com/abc-news-australia/,leftcenter
ABC11 Eyewitness News (abc11.com),https://mediabiasfactcheck.com/abc11-eyewitness-news/,leftcenter
Abbotsford News (abbynews.com),https://mediabiasfactcheck.com/abbotsford-news-bias/,leftcenter
Aberdeen American News (aberdeennews.com),https://mediabiasfactcheck.com/aberdeen-american-news-bias/,leftcenter
Abilene Reporter-News (reporternews.com),https://mediabiasfactcheck.com/abilene-reporter-news-bias/,leftcenter
Above the Law (abovethelaw.com),https://mediabiasfactcheck.com/above-the-law/,leftcenter
Acadiana Advocate (theadvocate.com/acadiana/),https://mediabiasfactcheck.com/acadiana-advocate-bias/,leftcenter
AceShowbiz (aceshowbiz.com),https://mediabiasfactcheck.com/aceshowbiz-asb/,leftcenter
ACLU (www.aclu.org),https://mediabiasfactcheck.com/american-civil-liberties-union-aclu/,leftcenter
Ada Derana (adaderana.lk),https://mediabiasfactcheck.com/ada-derana-bias/,leftcenter
Ada News (theadanews.com),https://mediabiasfactcheck.com/ada-news-bias/,leftcenter
Aeon (aeon.co),https://mediabiasfactcheck.com/aeon/,leftcenter
Affinity Magazine (affinitymagazine.us),https://mediabiasfactcheck.com/affinity-magazine/,leftcenter
African Arguments (africanarguments.org),https://mediabiasfactcheck.com/african-arguments/,leftcenter
Africa News (www.africanews.com),https://mediabiasfactcheck.com/africa-news/,leftcenter
AfroLA (afrolanews.org),https://mediabiasfactcheck.com/afrola-bias-and-credibility/,leftcenter
Agassiz-Harrison Observer (agassizharrisonobserver.com),https://mediabiasfactcheck.com/agassiz-harrison-observer-bias/,leftcenter
Agence France-Presse (AFP) (www.afp.com),https://mediabiasfactcheck.com/afp-agence-france-presse/,leftcenter
Ahval News (ahvalnews.com),https://mediabiasfactcheck.com/ahval-news/,leftcenter
Airdrie City View (airdrietoday.com),https://mediabiasfactcheck.com/airdrie-city-view-bias/,leftcenter
Aitkin Independent Age (messagemedia.co/aitkin/),https://mediabiasfactcheck.com/aitkin-independent-age-bias/,leftcenter
Ajax News Advertiser (durhamregion.com/ajax-on/),https://mediabiasfactcheck.com/ajax-news-advertiser-bias/,leftcenter
Akron Beacon Journal (beaconjournal.com),https://mediabiasfactcheck.com/akron-beacon-journal/,leftcenter
Al Jazeera (www.aljazeera.com),https://mediabiasfactcheck.com/al-jazeera/,leftcenter
Al Monitor (www.al-monitor.com),https://mediabiasfactcheck.com/al-monitor/,leftcenter
Alameda Post (alamedapost.com),https://mediabiasfactcheck.com/alameda-post-bias-and-credibility/,leftcenter
Alamogordo Daily News (alamogordonews.com),https://mediabiasfactcheck.com/alamogordo-daily-news-bias/,leftcenter
Alan Guttmacher Institute (www.guttmacher.org),https://mediabiasfactcheck.com/alan-guttmacher-institute/,leftcenter
Alaska Highway News (alaskahighwaynews.ca),https://mediabiasfactcheck.com/alaska-highway-news-bias/,leftcenter
Alaska Survey Research (alaskasurveyresearch.com),https://mediabiasfactcheck.com/alaska-survey-research-bias/,leftcenter
Albany Times-Union (www.timesunion.com),https://mediabiasfactcheck.com/albany-times-union/,leftcenter
Alberta Views (https://albertaviews.ca),https://mediabiasfactcheck.com/alberta-views-bias/,leftcenter
Aldergrove Star (aldergrovestar.com),https://mediabiasfactcheck.com/aldergrove-star-bias/,leftcenter
AllGov (www.allgov.com),https://mediabiasfactcheck.com/allgov/,leftcenter
Alliance Review (the-review.com),https://mediabiasfactcheck.com/alliance-review-bias/,leftcenter
Alliston Herald (simcoe.com/alliston-on/),https://mediabiasfactcheck.com/alliston-herald-bias/,leftcenter
All That’s Interesting (allthatsinteresting.com),https://mediabiasfactcheck.com/all-thats-interesting-bias/,leftcenter
Almaguin News (northbaynipissing.com/almaguinhighlands-on),https://mediabiasfactcheck.com/almaguin-news-bias/,leftcenter
Amber Integrated (amberintegrated.com),https://mediabiasfactcheck.com/amber-integrated-bias/,leftcenter
AM New York (www.amny.com),https://mediabiasfactcheck.com/am-new-york/,leftcenter
America Magazine (www.americamagazine.org),https://mediabiasfactcheck.com/america-magazine/,leftcenter
American Crime Journal (americancrimejournal.com),https://mediabiasfactcheck.com/american-crime-journal-acj-bias/,leftcenter
American Immigration Council (www.americanimmigrationcouncil.org),https://mediabiasfactcheck.com/american-immigration-council/,leftcenter
American Public Media (americanpublicmedia.org),https://mediabiasfactcheck.com/american-public-media/,leftcenter
American Purpose (americanpurpose.com),https://mediabiasfactcheck.com/american-purpose/,leftcenter
America’s Health Rankings (americashealthrankings.org),https://mediabiasfactcheck.com/americas-health-rankings/,leftcenter
Ames Tribune (amestrib.com),https://mediabiasfactcheck.com/ames-tribune-bias/,leftcenter
Amherst Bulletin (amherstbulletin.com),https://mediabiasfactcheck.com/amherst-bulletin-bias/,leftcenter
Amnesty International (www.amnesty.org),https://mediabiasfactcheck.com/amnesty-international/,leftcenter
Ancaster News (thespec.com/local-ancaster),https://mediabiasfactcheck.com/ancaster-news-bias/,leftcenter
Anderson Herald Bulletin (heraldbulletin.com),https://mediabiasfactcheck.com/anderson-herald-bulletin-bias/,leftcenter
Anderson Independent Mail (independentmail.com),https://mediabiasfactcheck.com/anderson-independent-mail-bias/,leftcenter
Andover Townsman (andovertownsman.com),https://mediabiasfactcheck.com/andover-townsman-bias/,leftcenter
Anniston Star (www.annistonstar.com),https://mediabiasfactcheck.com/anniston-star/,leftcenter
Anti Defamation League (www.adl.org),https://mediabiasfactcheck.com/anti-defamation-league/,leftcenter
Antigo Daily Journal (antigojournal.com),https://mediabiasfactcheck.com/antigo-daily-journal-bias/,leftcenter
AOL (www.aol.com),https://mediabiasfactcheck.com/aol/,leftcenter
APM Reports (www.apmreports.org),https://mediabiasfactcheck.com/apm-reports/,leftcenter
Apple News,https://mediabiasfactcheck.com/apple-news-bias/,leftcenter
APTN National News,https://mediabiasfactcheck.com/aptn-news/,leftcenter
Areo Magazine,https://mediabiasfactcheck.com/areo-magazine/,leftcenter
Arizona Capitol Times (azcapitoltimes.com),https://mediabiasfactcheck.com/arizona-capitol-times/,leftcenter
Arizona Center for Investigative Reporting (azcir.org),https://mediabiasfactcheck.com/arizona-center-for-investigative-reporting-bias/,leftcenter
Arizona Daily Star (tucson.com),https://mediabiasfactcheck.com/arizona-daily-star/,leftcenter
Arizona Daily Sun (azdailysun.com),https://mediabiasfactcheck.com/arizona-daily-sun/,leftcenter
Arizona Luminaria (azluminaria.org),https://mediabiasfactcheck.com/arizona-luminaria-bias-and-credibility/,leftcenter
Arizona Republic (www.azcentral.com),https://mediabiasfactcheck.com/arizona-republic/,leftcenter
Arkansas Times (www.arktimes.com),https://mediabiasfactcheck.com/arkansas-times/,leftcenter
Ark Valley Voice (arkvalleyvoice.com),https://mediabiasfactcheck.com/ark-valley-voice-bias/,leftcenter
Arms Control Association (https://www.armscontrol.org),https://mediabiasfactcheck.com/arms-control-association/,leftcenter
Arnprior Chronicle-Guide (insideottawavalley.com/arnprior-on/),https://mediabiasfactcheck.com/arnprior-chronicle-guide-bias/,leftcenter
Arrow Lakes News (arrowlakesnews.com),https://mediabiasfactcheck.com/arrow-lakes-news-bias/,leftcenter
ARTE (arte.tv),https://mediabiasfactcheck.com/arte/,leftcenter
Ashcroft-Cache Creek Journal (ashcroftcachecreekjournal.com),https://mediabiasfactcheck.com/ashcroft-cache-creek-journal-bias/,leftcenter
Ashe Post & Times (ashepostandtimes.com),https://mediabiasfactcheck.com/ashe-post-times-bias/,leftcenter
Asheville Citizen-Times (www.citizen-times.com),https://mediabiasfactcheck.com/asheville-citizen-times/,leftcenter
Ashland Daily Press (apg-wi.com/ashland_daily_press/),https://mediabiasfactcheck.com/ashland-daily-press-bias/,leftcenter
Ashland Independent (dailyindependent.com),https://mediabiasfactcheck.com/ashland-independent-bias/,leftcenter
Ashland Times-Gazette (times-gazette.com),https://mediabiasfactcheck.com/ashland-times-gazette-bias/,leftcenter
Ashtabula Star Beacon (starbeacon.com),https://mediabiasfactcheck.com/ashtabula-star-beacon-bias/,leftcenter
Asia Sentinel,https://mediabiasfactcheck.com/asia-sentinel/,leftcenter
Aspenia Online (aspeniaonline.it),https://mediabiasfactcheck.com/aspenia-online/,leftcenter
Aspen Institute (aspeninstitute.org),https://mediabiasfactcheck.com/aspen-institute/,leftcenter
Assiniboia Times (saktoday.ca/south/assiniboia-times/),https://mediabiasfactcheck.com/assiniboia-times-bias/,leftcenter
Associated Press (apnews.com),https://mediabiasfactcheck.com/associated-press/,leftcenter
Atavist Magazine (magazine.atavist.com),https://mediabiasfactcheck.com/atavist-magazine/,leftcenter
Athabasca Advocate (townandcountrytoday.com/athabasca-news),https://mediabiasfactcheck.com/athabasca-advocate-bias/,leftcenter
Athens Banner-Herald (onlineathens.com),https://mediabiasfactcheck.com/athens-banner-herald-bias/,leftcenter
Athens Daily Review (athensreview.com),https://mediabiasfactcheck.com/athens-daily-review-bias/,leftcenter
Athens News Courier (enewscourier.com),https://mediabiasfactcheck.com/athens-news-courier-bias/,leftcenter
Athol Daily News (atholdailynews.com),https://mediabiasfactcheck.com/athol-daily-news-bias/,leftcenter
Atlanta Black Star (atlantablackstar.com),https://mediabiasfactcheck.com/atlanta-black-star/,leftcenter
Atlanta Journal-Constitution (www.ajc.com),https://mediabiasfactcheck.com/atlanta-journal-constitution/,leftcenter
Atlantic (www.theatlantic.com),https://mediabiasfactcheck.com/the-atlantic/,leftcenter
ATTN: (www.attn.com),https://mediabiasfactcheck.com/attn/,leftcenter
Aurora Banner (yorkregion.com/aurora-on/),https://mediabiasfactcheck.com/aurora-banner-bias/,leftcenter
Austin American-Statesman (www.statesman.com),https://mediabiasfactcheck.com/austin-american-statesman/,leftcenter
Austin Daily Herald (austindailyherald.com),https://mediabiasfactcheck.com/austin-daily-herald-minnesota/,leftcenter
Autoblog (autoblog.com),https://mediabiasfactcheck.com/autoblog-bias-and-credibility/,leftcenter
AV Club (avclub.com),https://mediabiasfactcheck.com/av-club/,leftcenter
Avery Journal Times (averyjournal.com),https://mediabiasfactcheck.com/avery-journal-times-bias/,leftcenter
Axios (www.axios.com),https://mediabiasfactcheck.com/axios/,leftcenter
BackChannel (backchannel.com),https://mediabiasfactcheck.com/backchannel/,leftcenter
Balkan Insight (balkaninsight.com),https://mediabiasfactcheck.com/balkan-insight/,leftcenter
Ballarat Courier (thecourier.com.au),https://mediabiasfactcheck.com/ballarat-courier-bias/,leftcenter
Baltimore Sun (www.baltimoresun.com),https://mediabiasfactcheck.com/baltimore-sun/,leftcenter
Bangor Daily News (bangordailynews.com),https://mediabiasfactcheck.com/bangor-daily-news/,leftcenter
Baptist News Global (baptistnews.com),https://mediabiasfactcheck.com/baptist-news-global/,leftcenter
Barrhead Leader (townandcountrytoday.com),https://mediabiasfactcheck.com/barrhead-leader-bias/,leftcenter
Barrie Advance (simcoe.com/barrie-on/),https://mediabiasfactcheck.com/barrie-advance-bias/,leftcenter
Barrie Today (barrietoday.com),https://mediabiasfactcheck.com/barrie-today/,leftcenter
Bartlesville Examiner-Enterprise (examiner-enterprise.com),https://mediabiasfactcheck.com/bartlesville-examiner-enterprise-bias/,leftcenter
Bashaw Star (bashawstar.com),https://mediabiasfactcheck.com/bashaw-star-bias/,leftcenter
Baton Rouge Advocate (theadvocate.com),https://mediabiasfactcheck.com/baton-rouge-advocate-bias/,leftcenter
Battle Creek Enquirer (www.battlecreekenquirer.com),https://mediabiasfactcheck.com/battle-creek-enquirer/,leftcenter
Baxter Bulletin (www.baxterbulletin.com),https://mediabiasfactcheck.com/the-baxter-bulletin/,leftcenter
Bay Nature Magazine (baynature.org),https://mediabiasfactcheck.com/bay-nature-magazine-bias/,leftcenter
Beacon Research/Shaw & Co (beaconresearch.com),https://mediabiasfactcheck.com/beacon-research-shaw-co-bias/,leftcenter
Beaver County Times (timesonline.com),https://mediabiasfactcheck.com/beaver-county-times-bias/,leftcenter
BBC News (www.bbc.com),https://mediabiasfactcheck.com/bbc/,leftcenter
Beckley Register-Herald (register-herald.com),https://mediabiasfactcheck.com/beckley-register-herald-bias/,leftcenter
Bedford Times-Mail (tmnews.com),https://mediabiasfactcheck.com/bedford-times-mail-bias/,leftcenter
Belgrade News (belgrade-news.com),https://mediabiasfactcheck.com/belgrade-news-bias/,leftcenter
Bellingcat (www.bellingcat.com),https://mediabiasfactcheck.com/bellingcat/,leftcenter
Bellingham Herald (bellinghamherald.com),https://mediabiasfactcheck.com/bellingham-herald/,leftcenter
Belltower.News,https://mediabiasfactcheck.com/belltower-news-bias/,leftcenter
Beloit Daily News (beloitdailynews.com),https://mediabiasfactcheck.com/beloit-daily-news-bias/,leftcenter
Bendigo Advertiser (bendigoadvertiser.com.au),https://mediabiasfactcheck.com/bendigo-advertiser-bias/,leftcenter
Benenson Strategy Group (bsgco.com),https://mediabiasfactcheck.com/benenson-strategy-group-bias-and-credibility/,leftcenter
Berkeleyside (www.berkeleyside.com),https://mediabiasfactcheck.com/berkeleyside/,leftcenter
