Group,Link,Type
Acoustics Journal (https://www.mdpi.com/journal/acoustics),https://mediabiasfactcheck.com/acoustics-journal-bias/,pro-science
Acta Neuropathologica Communications (actaneurocomms.biomedcentral.com),https://mediabiasfactcheck.com/acta-neuropathologica-communications-bias/,pro-science
Actuators Journal (mdpi.com/journal/actuators),https://mediabiasfactcheck.com/actuators-journal-bias/,pro-science
Administrative Sciences Journal (mdpi.com/journal/admsci),https://mediabiasfactcheck.com/administrative-sciences-journal-bias/,pro-science
Adolescents Journal (mdpi.com/journal/adolescents),https://mediabiasfactcheck.com/adolescents-journal-bias/,pro-science
Advances in Respiratory Medicine (mdpi.com/journal/arm),https://mediabiasfactcheck.com/advances-on-respiratory-medicine-bias/,pro-science
Aerospace Journal (mdpi.com/journal/aerospace),https://mediabiasfactcheck.com/aerospace-journal-bias/,pro-science
Agriculture Journal (mdpi.com/journal/agriculture),https://mediabiasfactcheck.com/agriculture-journal-bias/,pro-science
AgriEngineering Journal (mdpi.com/journal/agriengineering),https://mediabiasfactcheck.com/agriengineering-journal-bias/,pro-science
Agrochemicals Journal (mdpi.com/journal/agrochemicals),https://mediabiasfactcheck.com/agrochemicals-journal-bias/,pro-science
Agronomy Journal (mdpi.com/journal/agronomy),https://mediabiasfactcheck.com/agronomy-journal-bias/,pro-science
AI Journal (mdpi.com/journal/ai),https://mediabiasfactcheck.com/ai-journal-bias/,pro-science
Air and Space Mag (www.airspacemag.com),https://mediabiasfactcheck.com/air-space-magazine/,pro-science
Air Journal (mdpi.com/journal/air),https://mediabiasfactcheck.com/air-journal-bias/,pro-science
Algorithms Journal (mdpi.com/journal/algorithms),https://mediabiasfactcheck.com/algorithms-journal-bias/,pro-science
Allergies Journal (mdpi.com/journal/allergies),https://mediabiasfactcheck.com/allergies-journal-bias/,pro-science
Alliance for Science,https://mediabiasfactcheck.com/alliance-for-science/,pro-science
Alloys Journal (mdpi.com/journal/alloys),https://mediabiasfactcheck.com/alloys-journal-bias/,pro-science
Alzheimer’s Research & Therapy (alzres.biomedcentral.com),https://mediabiasfactcheck.com/alzheimers-research-therapy-bias/,pro-science
American Academy of Pediatrics (www.aap.org),https://mediabiasfactcheck.com/american-academy-of-pediatrics/,pro-science
American association for the advancement of science. (www.aaas.org),https://mediabiasfactcheck.com/american-association-for-the-advancement-of-science-aaas/,pro-science
American Cancer Society (cancer.org),https://mediabiasfactcheck.com/american-cancer-society-bias/,pro-science
American Geophysical Union (AGU) (sites.agu.org),https://mediabiasfactcheck.com/american-geophysical-union-agu/,pro-science
