Group,Link,Type
7NEWS (7news.com.au),https://mediabiasfactcheck.com/7news/,right-center
9 News (Australia) (www.9news.com.au),https://mediabiasfactcheck.com/9-news-australia/,right-center
1945 (19fortyfive.com),https://mediabiasfactcheck.com/1945-19fortyfive-com/,right-center
ABC (Spain) (abc.es),https://mediabiasfactcheck.com/abc-spain/,right-center
Advocates for Self-Government (theadvocates.org),https://mediabiasfactcheck.com/advocates-for-self-government/,right-center
Ahram Online (english.ahram.org.eg),https://mediabiasfactcheck.com/ahram-online/,right-center
Airdrie Echo (airdrieecho.com),https://mediabiasfactcheck.com/airdrie-echo-bias/,right-center
Al.com (Alabama News) (www.al.com),https://mediabiasfactcheck.com/al-com-alabama-news/,right-center
Alabama Today (altoday.com),https://mediabiasfactcheck.com/alabama-today/,right-center
Alabaster Reporter (shelbycountyreporter.com/category/alabaster-news/),https://mediabiasfactcheck.com/alabaster-reporter-bias/,right-center
Albany Herald (albanyherald.com),https://mediabiasfactcheck.com/albany-herald-bias/,right-center
Albert Lea Tribune (albertleatribune.com),https://mediabiasfactcheck.com/albert-lea-tribune-bias/,right-center
Albuquerque Journal (www.abqjournal.com),https://mediabiasfactcheck.com/albuquerque-journal/,right-center
Aleteia,https://mediabiasfactcheck.com/aleteia/,right-center
Alexander City Outlook (alexcityoutlook.com),https://mediabiasfactcheck.com/alexander-city-outlook-bias/,right-center
Alexandria Echo Press (echopress.com),https://mediabiasfactcheck.com/alexandria-echo-press-bias/,right-center
American Action Forum (www.americanactionforum.org),https://mediabiasfactcheck.com/american-action-forum/,right-center
American Action Network (americanactionnetwork.org),https://mediabiasfactcheck.com/american-action-network-aan-bias-and-credibility/,right-center
American Affairs Journal (americanaffairsjournal.org),https://mediabiasfactcheck.com/american-affairs-journal/,right-center
American Council on Science and Health (ACSH) (acsh.org),https://mediabiasfactcheck.com/american-council-on-science-and-health/,right-center
American Firearms Institute (www.americanfirearms.org),https://mediabiasfactcheck.com/american-firearms-institute/,right-center
American Institute for Economic Research (aier.org),https://mediabiasfactcheck.com/american-institute-for-economic-research/,right-center
American Military News (americanmilitarynews.com),https://mediabiasfactcheck.com/american-military-news/,right-center
American for Prosperity (americansforprosperity.org),https://mediabiasfactcheck.com/americans-for-prosperity/,right-center
Americas Quarterly (www.americasquarterly.org),https://mediabiasfactcheck.com/americas-quarterly/,right-center
Americus Times-Recorder (americustimesrecorder.com),https://mediabiasfactcheck.com/americus-times-recorder-bias/,right-center
Anchorage Press (anchoragepress.com),https://mediabiasfactcheck.com/anchorage-press-bias/,right-center
